ID# ATTRIBUTE_NAME          FLAG     VALUE WORST THRESH TYPE      UPDATED  WHEN_FAILED RAW_VALUE
  1 Raw_Read_Error_Rate     0x002f   100   100   000    Pre-fail  Always       -       0
  5 Reallocate_NAND_Blk_Cnt 0x0032   100   100   010    Old_age   Always       -       0
  9 Power_On_Hours          0x0032   100   100   000    Old_age   Always       -       15430
 12 Power_Cycle_Count       0x0032   100   100   000    Old_age   Always       -       36
171 Program_Fail_Count      0x0032   100   100   000    Old_age   Always       -       0
172 Erase_Fail_Count        0x0032   100   100   000    Old_age   Always       -       0
173 Ave_Block-Erase_Count   0x0032   097   097   000    Old_age   Always       -       31
174 Unexpect_Power_Loss_Ct  0x0032   100   100   000    Old_age   Always       -       33
180 Unused_Reserve_NAND_Blk 0x0033   100   100   000    Pre-fail  Always       -       21
183 SATA_Interfac_Downshift 0x0032   100   100   000    Old_age   Always       -       0
184 Error_Correction_Count  0x0032   100   100   000    Old_age   Always       -       0
187 Reported_Uncorrect      0x0032   100   100   000    Old_age   Always       -       0
194 Temperature_Celsius     0x0022   063   053   000    Old_age   Always       -       37 (Min/Max 28/47)
196 Reallocated_Event_Count 0x0032   100   100   000    Old_age   Always       -       0
197 Current_Pending_ECC_Cnt 0x0032   100   100   000    Old_age   Always       -       0
198 Offline_Uncorrectable   0x0030   100   100   000    Old_age   Offline      -       0
199 UDMA_CRC_Error_Count    0x0032   100   100   000    Old_age   Always       -       0
202 Percent_Lifetime_Remain 0x0030   097   097   001    Old_age   Offline      -       3
206 Write_Error_Rate        0x000e   100   100   000    Old_age   Always       -       0
210 Success_RAIN_Recov_Cnt  0x0032   100   100   000    Old_age   Always       -       0
246 Total_LBAs_Written      0x0032   100   100   000    Old_age   Always       -       4419252467
247 Host_Program_Page_Count 0x0032   100   100   000    Old_age   Always       -       138101639
248 FTL_Program_Page_Count  0x0032   100   100   000    Old_age   Always       -       38894592
249 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       0
250 Read_Error_Retry_Rate   0x0032   100   100   000    Old_age   Always       -       0
251 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       3916861372
252 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       1
253 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       0
254 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       65
223 Unkn_CrucialMicron_Attr 0x0032   100   100   000    Old_age   Always       -       1



ID# ATTRIBUTE_NAME          FLAG     VALUE WORST THRESH TYPE      UPDATED  WHEN_FAILED RAW_VALUE
  1 Raw_Read_Error_Rate     0x002f   100   100   000    Pre-fail  Always       -       0
  5 Reallocated_Sector_Ct   0x0032   100   100   010    Old_age   Always       -       0
  9 Power_On_Hours          0x0032   100   100   000    Old_age   Always       -       19871
 12 Power_Cycle_Count       0x0032   100   100   000    Old_age   Always       -       59
171 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       0
172 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       0
173 Unknown_Attribute       0x0032   097   097   000    Old_age   Always       -       30
174 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       56
180 Unused_Rsvd_Blk_Cnt_Tot 0x0033   100   100   000    Pre-fail  Always       -       44
183 Runtime_Bad_Block       0x0032   100   100   000    Old_age   Always       -       0
184 End-to-End_Error        0x0032   100   100   000    Old_age   Always       -       0
187 Reported_Uncorrect      0x0032   100   100   000    Old_age   Always       -       0
194 Temperature_Celsius     0x0022   066   052   000    Old_age   Always       -       34 (Min/Max 26/48)
196 Reallocated_Event_Count 0x0032   100   100   000    Old_age   Always       -       0
197 Current_Pending_Sector  0x0032   100   100   000    Old_age   Always       -       0
198 Offline_Uncorrectable   0x0030   100   100   000    Old_age   Offline      -       0
199 UDMA_CRC_Error_Count    0x0032   100   100   000    Old_age   Always       -       0
202 Data_Address_Mark_Errs  0x0030   097   097   001    Old_age   Offline      -       3
206 Flying_Height           0x000e   100   100   000    Old_age   Always       -       0
210 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       0
246 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       7586797163
247 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       237087411
248 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       114048000
249 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       0
250 Read_Error_Retry_Rate   0x0032   100   100   000    Old_age   Always       -       0
251 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       3383840418
252 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       2
253 Unknown_Attribute       0x0032   100   100   000    Old_age   Always       -       0
254 Free_Fall_Sensor        0x0032   100   100   000    Old_age   Always       -       49
223 Load_Retry_Count        0x0032   100   100   000    Old_age   Always       -       0

ID# ATTRIBUTE_NAME          FLAG     VALUE WORST THRESH TYPE      UPDATED  WHEN_FAILED RAW_VALUE
  1 Raw_Read_Error_Rate     0x0000   100   100   000    Old_age   Offline      -       0
  5 Reallocated_Sector_Ct   0x0000   100   100   000    Old_age   Offline      -       0
  9 Power_On_Hours          0x0000   100   100   000    Old_age   Offline      -       757
 12 Power_Cycle_Count       0x0000   100   100   000    Old_age   Offline      -       20
148 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       858
149 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       138
150 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       65
151 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       95
159 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       0
160 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       0
161 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       13
164 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       17444
165 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       100
166 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       1
167 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       80
169 Unknown_Attribute       0x0000   096   096   000    Old_age   Offline      -       96
177 Wear_Leveling_Count     0x0000   100   100   050    Old_age   Offline      -       0
181 Program_Fail_Cnt_Total  0x0000   100   100   000    Old_age   Offline      -       0
182 Erase_Fail_Count_Total  0x0000   100   100   000    Old_age   Offline      -       0
192 Power-Off_Retract_Count 0x0000   100   100   000    Old_age   Offline      -       15
194 Temperature_Celsius     0x0000   037   043   000    Old_age   Offline      -       37
195 Hardware_ECC_Recovered  0x0000   100   100   000    Old_age   Offline      -       0
196 Reallocated_Event_Count 0x0000   100   100   016    Old_age   Offline      -       0
199 UDMA_CRC_Error_Count    0x0000   100   100   050    Old_age   Offline      -       0
231 Temperature_Celsius     0x0000   096   096   000    Old_age   Offline      -       96
232 Available_Reservd_Space 0x0000   100   100   000    Old_age   Offline      -       100
241 Total_LBAs_Written      0x0000   100   100   000    Old_age   Offline      -       77032
242 Total_LBAs_Read         0x0000   100   100   000    Old_age   Offline      -       432852
245 Unknown_Attribute       0x0000   100   100   000    Old_age   Offline      -       706482

ID# ATTRIBUTE_NAME          FLAG     VALUE WORST THRESH TYPE      UPDATED  WHEN_FAILED RAW_VALUE
  1 Raw_Read_Error_Rate     0x0000   100   100   000    Old_age   Offline      -       0
  5 Reallocated_Sector_Ct   0x0000   100   100   000    Old_age   Offline      -       0
  9 Power_On_Hours          0x0000   100   100   000    Old_age   Offline      -       1367
 12 Power_Cycle_Count       0x0000   100   100   000    Old_age   Offline      -       172
148 Total_SLC_Erase_Ct      0x0000   100   100   000    Old_age   Offline      -       834
149 Max_SLC_Erase_Ct        0x0000   100   100   000    Old_age   Offline      -       111
150 Min_SLC_Erase_Ct        0x0000   100   100   000    Old_age   Offline      -       69
151 Average_SLC_Erase_Ct    0x0000   100   100   000    Old_age   Offline      -       92
159 DRAM_1_Bit_Error_Count  0x0000   100   100   000    Old_age   Offline      -       0
160 Uncorrectable_Error_Cnt 0x0000   100   100   000    Old_age   Offline      -       0
161 Valid_Spare_Block_Cnt   0x0000   100   100   000    Old_age   Offline      -       16
164 Total_Erase_Count       0x0000   100   100   000    Old_age   Offline      -       28024
165 Max_Erase_Count         0x0000   100   100   000    Old_age   Offline      -       139
166 Min_Erase_Count         0x0000   100   100   000    Old_age   Offline      -       58
167 Average_Erase_Count     0x0000   100   100   000    Old_age   Offline      -       127
169 Remaining_Lifetime_Perc 0x0000   094   094   000    Old_age   Offline      -       94
177 Wear_Leveling_Count     0x0000   100   100   050    Old_age   Offline      -       5
181 Program_Fail_Cnt_Total  0x0000   100   100   000    Old_age   Offline      -       0
182 Erase_Fail_Count_Total  0x0000   100   100   000    Old_age   Offline      -       0
192 Power-Off_Retract_Count 0x0000   100   100   000    Old_age   Offline      -       159
194 Temperature_Celsius     0x0000   031   056   000    Old_age   Offline      -       31
195 Hardware_ECC_Recovered  0x0000   100   100   000    Old_age   Offline      -       0
196 Reallocated_Event_Count 0x0000   100   100   016    Old_age   Offline      -       0
199 UDMA_CRC_Error_Count    0x0000   100   100   050    Old_age   Offline      -       0
231 SSD_Life_Left           0x0000   094   094   000    Old_age   Offline      -       94
232 Available_Reservd_Space 0x0000   100   100   000    Old_age   Offline      -       100
241 Host_Writes_32MiB       0x0000   100   100   000    Old_age   Offline      -       140396
242 Host_Reads_32MiB        0x0000   100   100   000    Old_age   Offline      -       1776419
245 TLC_Writes_32MiB        0x0000   100   100   000    Old_age   Offline      -       1134972

